Country/Region,Province/State,01/22/20,01/23/20,01/24/20,01/25/20,01/26/20,01/27/20,01/28/20,01/29/20,01/30/20,01/31/20,02/01/20,02/02/20,02/03/20,02/04/20,02/05/20,02/06/20,02/07/20,02/08/20,02/09/20,02/10/20,02/11/20,02/12/20,02/13/20,02/14/20,02/15/20,02/16/20,02/17/20,02/18/20,02/19/20,02/20/20,02/21/20,02/22/20,02/23/20,02/24/20,02/25/20,02/26/20,02/27/20,02/28/20,02/29/20,03/01/20,03/02/20,03/03/20,03/04/20,03/05/20,03/06/20,03/07/20,03/08/20,03/09/20,03/10/20,03/11/20,03/12/20,03/13/20,03/14/20,03/15/20,03/16/20,03/17/20,03/18/20,03/19/20,03/20/20,03/21/20,03/22/20,03/23/20,03/24/20,03/25/20,03/26/20,03/27/20,03/28/20,03/29/20,03/30/20,03/31/20,04/01/20,04/02/20,04/03/20,04/04/20,04/05/20,04/06/20,04/07/20,04/08/20,04/09/20,04/10/20,04/11/20,04/12/20,04/13/20,04/14/20,04/15/20,04/16/20,04/17/20,04/18/20,04/19/20,04/20/20,04/21/20,04/22/20,04/23/20,04/24/20,04/25/20,04/26/20,04/27/20,04/28/20,04/29/20,04/30/20,05/01/20,05/02/20,05/03/20,05/04/20,05/05/20,05/06/20
Australia,Northern Territory,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45498383045196533,0.43482351303100586,0.0,0.0,0.0,0.0,0.38279086351394653,0.8210154175758362,0.835018515586853,1.094373106956482,1.1171940565109253,1.0415337085723877,1.0295335054397583,1.0139291286468506,1.3570725917816162,1.845644235610962,2.540029287338257,3.174485445022583,4.023838043212891,4.978261470794678,5.759324073791504,8.407276153564453,10.188356399536133,12.294920921325684,13.960748672485352,15.71851634979248,17.577972412109375,18.67778778076172,20.219335556030273,22.325313568115234,24.156299591064453,26.963603973388672,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,27,29,29,29,29,29
Australia,Queensland,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.9458861351013184,1.3380184173583984,1.965794563293457,2.471770763397217,2.781303644180298,3.037292718887329,3.2739272117614746,3.372579574584961,3.530233144760132,4.267146110534668,4.469244003295898,4.6279683113098145,5.045832633972168,5.2000837326049805,5.330587387084961,5.3508806228637695,5.3603434562683105,5.478207588195801,5.590177536010742,5.660894870758057,5.700066566467285,5.418664932250977,5.307745933532715,5.09853458404541,5.204843044281006,5.205883026123047,5.072811603546143,4.895936965942383,5.159876823425293,5.781196594238281,6.397800922393799,7.715008735656738,8.787784576416016,9.471121788024902,10.383540153503418,12.288675308227539,13.066152572631836,13.456429481506348,13.826062202453613,14.340814590454102,15.114059448242188,17.14182472229004,21.932886123657227,22.841339111328125,38.513397216796875,48.7957763671875,57.333518981933594,71.89649963378906,83.09557342529297,98.9358901977539,135.88540649414062,174.1175079345703,218.93142700195312,274.08148193359375,314.0457763671875,368.7862854003906,392.426025390625,494.58245849609375,575.3956909179688,661.0157470703125,709.6715087890625,739.4837036132812,756.9627685546875,823.1944580078125,891.9881591796875,929.9898681640625,977.07958984375,907,921,934,943,953,965,974,983,987,998,999,1001,1007,1015,1019,1019,1024,1024,1026,1026,1026,1030,1033,1034,1033,1033,1034,1035,1038,1043,1043,1043
Australia,South Australia,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0241469144821167,1.1755352020263672,1.2792829275131226,1.3786765336990356,1.4041491746902466,1.4596024751663208,1.7181886434555054,1.7748326063156128,1.8249247074127197,1.9714159965515137,2.023512125015259,2.061901092529297,2.0800023078918457,2.0781455039978027,2.1126105785369873,2.150038242340088,2.1719326972961426,2.1850838661193848,2.1086606979370117,2.1142849922180176,2.106487274169922,2.2023377418518066,2.2417454719543457,2.1673848628997803,2.06162428855896,2.060964822769165,2.2698493003845215,2.4475290775299072,2.71217679977417,2.932792901992798,3.3289990425109863,3.69417667388916,4.471225261688232,5.092113971710205,5.543905735015869,6.141683101654053,6.515478134155273,6.864442825317383,7.622732162475586,9.68838119506836,10.315860748291016,14.922221183776855,19.107398986816406,22.089981079101562,29.39650535583496,29.577056884765625,34.01352310180664,42.14442825317383,60.76181411743164,78.54290008544922,104.49185180664062,135.40597534179688,170.312255859375,197.83535766601562,237.71725463867188,268.603271484375,289.01409912109375,318.9441833496094,325.25714111328125,352.67608642578125,377.88311767578125,401.51971435546875,424.076416015625,444.3070068359375,407,411,411,415,420,428,429,429,429,433,433,433,435,435,435,435,437,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438
Australia,Tasmania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.5599344372749329,0.7311692833900452,0.9637762904167175,0.9644164443016052,1.0716062784194946,1.1958651542663574,1.7256287336349487,2.0463602542877197,2.4469962120056152,3.191756248474121,3.249905586242676,4.5127458572387695,5.283755779266357,5.969627857208252,6.411560535430908,7.831567764282227,9.311156272888184,10.85365104675293,13.616190910339355,16.679922103881836,21.509708404541016,26.717174530029297,32.02094650268555,38.58489227294922,47.26570129394531,53.50233459472656,59.379051208496094,63.61493682861328,67.4282455444336,70.32559967041016,71.75748443603516,74.62882995605469,76.14008331298828,81.20741271972656,82,86,89,98,111,122,133,133,144,165,165,169,180,188,195,200,201,205,207,207,207,212,214,218,219,221,221,221,221,221,225,225
Australia,Victoria,-0.0,0.0,0.0,0.0,0.6828305721282959,1.0219162702560425,1.290004014968872,1.6300599575042725,2.090273380279541,2.801948070526123,3.3480310440063477,3.677323341369629,3.9706170558929443,4.204895973205566,4.326838493347168,4.506496429443359,3.8325302600860596,4.003508567810059,4.098172664642334,4.126512050628662,4.234612464904785,4.247269630432129,4.238471031188965,4.180761337280273,4.183239936828613,4.189121246337891,4.152266025543213,4.122198104858398,3.9948928356170654,4.011449813842773,4.120438575744629,4.284314155578613,4.341722011566162,4.235167026519775,3.876765489578247,3.906771183013916,4.328716278076172,4.737447738647461,5.993183612823486,7.221395969390869,8.168632507324219,9.117201805114746,10.137429237365723,9.855094909667969,10.5172119140625,11.069368362426758,12.895434379577637,14.570713996887207,17.17336654663086,23.072229385375977,23.748964309692383,37.71549987792969,48.55397033691406,58.148399353027344,74.11192321777344,92.76873779296875,109.58440399169922,137.76637268066406,178.7672119140625,233.52853393554688,300.7376708984375,354.2044677734375,419.3313293457031,452.6748046875,527.6737060546875,597.3574829101562,686.6873168945312,756.9251708984375,829.1668701171875,898.9619140625,977.6104736328125,1028.0716552734375,1055.2650146484375,1088.367919921875,1135,1158,1191,1212,1228,1241,1265,1268,1281,1291,1299,1299,1302,1319,1328,1329,1336,1336,1337,1343,1346,1349,1349,1354,1361,1364,1371,1384,1406,1423,1440,1440
Australia,Western Australia,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.9503395557403564,1.5106420516967773,1.9253251552581787,2.2850756645202637,2.6699438095092773,2.6443545818328857,2.8314085006713867,2.920274496078491,3.5684847831726074,4.135895729064941,5.492702007293701,8.755070686340332,9.726722717285156,14.603041648864746,17.950044631958008,20.52560043334961,24.555727005004883,31.012224197387695,39.22383117675781,54.64620590209961,71.2652587890625,92.54838562011719,118.6663589477539,136.93869018554688,164.87945556640625,187.95294189453125,217.97915649414062,248.13807678222656,286.07781982421875,312.94189453125,354.27862548828125,377.614013671875,401.365234375,416.6356201171875,429.05181884765625,445.5477294921875,453,460,460,481,495,506,514,514,517,527,527,532,541,544,545,545,546,546,546,548,549,549,549,550,551,551,551,551,551,551,551,551
Austria,,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1786925792694092,2.110930919647217,3.3579745292663574,4.50020694732666,7.965066432952881,11.846639633178711,16.906551361083984,22.32320785522461,31.26041603088379,40.922767639160156,57.91999053955078,72.26490020751953,102.3935546875,125.12248992919922,182.45718383789062,270.1448059082031,318.362060546875,511.036865234375,658.004150390625,834.5137939453125,1031.936767578125,1299.703369140625,1594.649658203125,2040.1190185546875,2424.91357421875,3012.652587890625,3885.867919921875,4431.74072265625,5331.896484375,5632.54736328125,6810.2060546875,8047.41796875,8962.8662109375,9422.734375,10224.318359375,10942.8330078125,11194.0068359375,11588.533203125,12037.2744140625,12435.3046875,12051,12297,12639,12942,13244,13555,13806,13945,14041,14226,14336,14476,14595,14671,14749,14795,14873,14925,15002,15071,15148,15225,15274,15357,15402,15452,15531,15558,15597,15621,15650,15684
Azerbaijan,,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.3989113569259644,2.190622329711914,2.940230369567871,4.290866851806641,5.193788051605225,6.115652084350586,7.0388264656066895,8.230462074279785,8.724431991577148,9.68461799621582,11.592178344726562,12.285623550415039,14.446735382080078,16.708494186401367,20.430395126342773,25.805660247802734,30.63023567199707,34.91489791870117,41.451908111572266,47.832008361816406,54.78594970703125,63.45264434814453,71.91279602050781,81.71054077148438,112.75108337402344,134.84866333007812,157.5991668701172,188.73898315429688,220.82437133789062,275.1888122558594,318.8070373535156,381.2635498046875,437.69342041015625,480.0120544433594,521.190673828125,584,641,717,822,926,991,1058,1098,1148,1197,1253,1283,1340,1373,1398,1436,1480,1518,1548,1592,1617,1645,1678,1717,1766,1804,1854,1894,1932,1984,2060,2127
Bahamas,,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6645155549049377,1.1501301527023315,1.5395047664642334,2.23915958404541,2.86222243309021,3.464506149291992,4.085965156555176,4.727889060974121,5.316878795623779,6.823878288269043,7.894169807434082,8.9932222366333,10.459473609924316,12.221630096435547,14.725552558898926,16.66578483581543,19.949304580688477,22.94727325439453,25.667875289916992,28.660226821899414,28,29,33,40,41,42,46,46,47,49,49,53,54,55,55,60,65,65,72,73,78,80,80,80,80,81,81,83,83,83,89,89
Bahrain,,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.2997350692749023,8.68076229095459,18.856597900390625,28.981332778930664,37.02419662475586,49.76700210571289,49.77330780029297,48.71596145629883,51.259132385253906,50.03790283203125,52.612548828125,62.40557861328125,71.38655090332031,83.26287841796875,98.30150604248047,159.55784606933594,191.3950958251953,201.12571716308594,201.58172607421875,196.08726501464844,208.70297241210938,237.31361389160156,232.61451721191406,249.99560546875,283.5490417480469,284.4955139160156,308.14752197265625,359.12640380859375,392.0287170410156,428.6164855957031,402.4622802734375,431.65228271484375,506.6109619140625,511.65545654296875,529.0400390625,555.931396484375,573.709228515625,591.9312133789062,628.713134765625,689.0523681640625,749.8309326171875,700,756,811,823,887,925,1040,1136,1361,1528,1671,1700,1740,1773,1881,1907,1973,2027,2217,2518,2588,2647,2723,2811,2921,3040,3170,3284,3383,3533,3720,3934
